English Comments,Translate Comments
the movie isn always easy to look at but if it is indeed duty of art to reflect life than leigh has created masterful piece of artistry right here,የፊልም እየሰጠ ሁልጊዜ ቀላል መመልከት ግን የስነጥበብ ግዴታ ሕይወት ማንጸባረቅ በእርግጥ ከሆነ Leigh መብት እዚህ ሥራ ጥበብ ውስጥ ድንቅ ቁራጭ የፈጠረ በላይ
it [ricci s] best work yet this girl woman who sincerely believes she can thwart the world misery with blind good will,ይህም [ricci ዎች] ምርጥ ስራ ገና ከልብ እሷ ዕውር በጎ ፈቃድ ጋር ዓለም ጉስቁልና ሊያጨናግፉ ይችላሉ የሚያምን ይህ ወጣት ሴት
highlights are the terrific performances by christopher plummer as the prime villain and nathan lane as vincent crummles the eccentric theater company manager,ቪንሰንት ቬርነር ቲያትር ኩባንያ ስራ አስኪያጅ crummles እንደ ድምቀቶች ክሪስቶፈር በ plummer ጠቅላይ እየተበላሸ እና ናታን ሌይን እንደ ቀውጢ አፈፃጸም ናቸው
[howard] so good as leon barlow that he hardly seems to be acting,Leon barlow እንደ መልካም እሱ በጭንቅ ይመስላል ዘንድ [ሃዋርድ] ትወና መሆን
an uplifting near masterpiece,አንድ የሚያንጹ አቅራቢያ ድንቅ
superior genre storytelling which gets under our skin simply by crossing the nuclear line,በቀላሉ የኑክሌር መስመር በማቋረጥ በማድረግ ያለንን የቆዳ ስር ይሄዳል ያለውን የላቀ ዘውግ በተረት መልክ
by taking entertainment tonight subject matter and giving it humor and poignancy auto focus becomes both gut bustingly funny and crushingly depressing,በጉዳዩ መዝናኛ ዛሬ ማታ ርዕሰ በመውሰድ እና bustingly አስቂኝ በሁለቱም በሰው አንጀት ቀልድ እና አሳዛኝ እንዲሆን ራስ ትኩረት እንዲሆን በመስጠት እና crushingly የሚያስጨንቁ በማድረግ
it bittersweet and lyrical mix of elements,ይህ ቀይ ሮዝ ንጥረ ቀላቅሉባት የጸሐፊውን
subversive meditative clinical and poetic the piano teacher is daring work of genius,በፈንጠዝያ ባነበብነው የክሊኒካል እና የግጥም ፒያኖ መምህር መያዙንና ሥራ ደፋር ነው
the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins,አራት ሃሪ ሸክላ መጻሕፍት መካከል ደካማው ጠርዞች መካከል thinnest አጠገብ ሁለት ፊልሞች መካከል ጠንካራ ይለውጣልና ተደርጓል
its gross out gags and colorful set pieces are of course stultifyingly contrived and too stylized by half still it gets the job done sleepy afternoon rental,በውስጡ ጠቅላላ ውጭ gags እና በቀለማት ስብስብ ቁርጥራጮች አሁንም ወደ ሥራ እንዳደረገ እንቅልፍ ከሰዓት ኪራይ ያገኛል stultifyingly ባስገደሉት እና በጣም በግማሽ በቅጥ እርግጥ ናቸው
it further declares its director zhang yang of shower as boldly experimental contemporary stylist with bright future,ይህ ተጨማሪ ብሩህ የወደፊት ጋር በድፍረት የሙከራ ዘመናዊ stylist እንደ በውስጡ ዳይሬክተር ዣንግ ያንግ መታጠቢያ ክፍል ይላል
smith approach is never to tease except gently and in that way that makes us consider our own eccentricities and how they are expressed through our homes,ስሚዝ አቀራረብ ቀስ በስተቀር እኛ የራሳችንን ታድሰው ግምት እና በእኛ ቤቶች አማካኝነት የተገለጸው እንዴት የሚያደርገው በዚህ መንገድ አናደደ ጋር ፈጽሞ ነው
full of profound real life moments that anyone can relate to it deserves wide audience,ማንኛውም ሰው ጋር ሊዛመድ የሚችል ትልቅ እውነተኛ ሕይወት ጊዜያት ሙሉ ሰፊ ታዳሚዎች ይገባዋል
movie that will touch the hearts of both children and adults as well as bring audiences to the edge of their seats,ያላቸውን መቀመጫ ጠርዝ ላይ ታዳሚዎችን ማምጣት እንደ ሁለቱም ልጆችና አዋቂዎች ልብ እንዲሁም መንካት መሆኑን ፊልም
leave it to rohmer now 82 to find way to bend current technique to the service of vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago,በሁለቱም የሕንፃ እንዳመለከተ ይመረምሩ ታማኝ እና ከሁለት መቶ ዓመታት በላይ በፊት ነበረ እንደ ከተማ ክፍት ቦታዎች የማዝህን ነው ባለፉት ውስጥ ራዕይ ያለውን አገልግሎት የአሁኑ ዘዴ ማጠፍ ወደ መንገድ ለማግኘት አሁን 82 rohmer ጋር መተው
fine acting but there is no sense of connecting the dots just dots,ጥሩ እርምጃ ግን ነጥቦቹን በማገናኘት ብቻ ነጥቦች ምንም ስሜት የለም
an extraordinary swedish film about the soul adventure of marriage the kind of intimate and character driven film that bille august does best,ጋብቻ ነፍስ ጀብዱ ስለ አንድ ልዩ የሆነ ስዊድናዊ ፊልም bille ነሐሴ የተሻለ የሚያደርግ የጠበቀ እና ባህሪ ተነዱ ፊልም ዓይነት
blessed gift to film geeks and historians if the 70 were your idea of good time at the movies this will make you very happy,በ 70 ፊልሞች ላይ ጥሩ ጊዜ የእርስዎን ሃሳብ ከሆነ ፊልም በአርታዒዎቻችን እና ታሪክ የተባረከ ስጦታ ይህ በጣም ደስተኛ ያደርጋል
it took 19 predecessors to get this,ይህን ለማግኘት 19 ከነበሩትና ወሰደ
thoughtful even stinging at times and lots of fun,ጊዜ እና አዝናኝ ብዙ ላይ የታሰበባቸው እንኳ ተናዳፊ
one of the most haunting viciously honest coming of age films in recent memory,በጣም የሙት አንዱ አምርረው ሐቀኛ የቅርብ ጊዜ ትውስታ ውስጥ ዕድሜ ፊልሞች መምጣት
the wwii drama is well plotted visually striking and filled with enjoyably complex characters who are never what they first appear,የ በተፈጠረው ድራማ በደንብ በሚታይ አስገራሚ መከሩ እነርሱም መጀመሪያ ይታያሉ ነገር ፈጽሞ ናቸው enjoyably ውስብስብ ቁምፊዎች ጋር የተሞላ ነው
it pleasure to see seinfeld griping about the biz with buddies chris rock garry shandling and colin quinn,ከ Buddies Chris Ground Grounding Shocking እና Colin Qinin ጋር ስለ Biinfelding ሲልክ ማየት ያስደስተዋል
this time out [sade] is an unsettlingly familiar figure in turns loyal and deceitful responsible and reckless idealistically selfless and coldly self interested,[Sade] ውጭ በዚህ ጊዜ እየተፈራረቁ ታማኝ እና አታላይ ኃላፊነት እና ያድኑኛል ተወያይተው ከራስ እና ፍላጎት መሄዱንና ራስን ውስጥ unsettlingly የተለመደ ቁጥር ነው
human resources was good straightforward tale but time out is better it haunting it like poem,የሰው ሃይል ጥሩ ቀጥተኛ ተረት ነበር ነገር ግን ጊዜ የተሻለ ግጥም ልክ እንዳይተናኮሉ ነው
to the film credit the acting is fresh and unselfconscious and munch is marvel of reality versus sappy sentiment,ወደ ፊልም ክሬዲት ሥራው ትኩስ እና ከራስ ወዳድነት ጋር የተዋሃደ እና ከራስ ወዳድነት ጋር የተዋሃደ እና ሙጫ በእውነቱ የእውነተኛ እና የ Sappy ስሜት ነው
chicago is in many ways an admirable achievement,ቺካጎ በብዙ መንገዶች ውስጥ አንድ የሚደነቅ ስኬት ነው
shainberg weaves carefully balanced scenario that is controlled by neither character is weirdly sympathetic to both and manages to be tender and darkly comic,shainberg ቢሆን ቁምፊ የሚቆጣጠረው መሆኑን በጥንቃቄ ሚዛናዊ ሁኔታ ለሁለቱም weirdly ርኅሩኅና ነው አቆራርጦ ለጋ እና ዛሬስ የቀልድ መሆን ለሚያስተዳድረው
even when foreign directors borrow stuff from hollywood they invariably shake up the formula and make it more interesting,የውጭ ዳይሬክተሮች የሆሊዉድ ከ ነገሮችን መዋስ እንኳ ጊዜ እንደተቸገሩ ቀመር እስከ አራግፉ እና ይበልጥ ሳቢ እንዲሆን ማድረግ
sturdy entertaining period drama both caine and fraser have their moments,ጠንካራ አዝናኝ ጊዜ ድራማ ኬን እና ፍሬዘር ሁለቱም ያላቸውን አፍታዎች አላቸው
whether [binoche and magimel] are being charming or angst ridden they easily fill their scenes and fine judges both never overcook the hysteria,እንደሆነ [binoche እና magimel] የደስ ወይም ጩኸትና በቀላሉ ሁለቱም ያላቸውን ትዕይንቶች እና ጥሩ ዳኞች ለመሙላት ያለውን በዚያ ቀውጢ overcook ፈጽሞ ያጫውተኝ እየተደረገ ነው
spunky original take on theme that will resonate with singles of many ages,ብዙ ዕድሜ ያላገባ ጋር የሚነካ መሆኑን ጭብጥ ላይ spunky የመጀመሪያ ይውሰዳት
it glorious groove that leaves you wanting more,ይህም ቅጠሎች ተጨማሪ ከመፈለግ በክብር ስንጥቅ
majidi gets uniformly engaging performances from his largely amateur cast,majidi የእርሱ በአብዛኛው አማተር Cast ከ ተሰጥኦና አሳታፊ አፈፃጸም ያገኛል
well observed and disturbing little movie,በደንብ ጠብቄ ጥቂት ፊልም የሚረብሽ
fans of nijinsky will savor every minute of cox work,nijinsky ውስጥ ደጋፊዎች cox ሥራ በየደቂቃው አልጫ ይሆናል
everything you loved about it in 1982 is still there for everybody who wants to be kid again or show it to their own kids,እርስዎ በ 1982 ስለ ወደዱ ነገር እንደገና ጠቦት መሆን ወይም የራሳቸውን ልጆች ለማሳየት የሚፈልግ ለሁሉም በዚያ አሁንም ነው
jagger the actor is someone you want to see again,jagger የ ተዋናይ ሰው እንደገና ማየት ይፈልጋሉ ነው
warm and exotic,ሞቅ እና የማይገኙ
escapism in its purest form,በውስጡ ከጠራ ቅጽ ላይ escapism
there is kind of attentive concern that hoffman brings to his characters as if he has been giving them private lessons and now it is time for their first public recital,በዚያም ከእነርሱ የግል ትምህርት በመስጠት ቆይቷል ከሆነ እንደ ሆፍማን የእሱን ቁምፊዎች የሚያመጣ መሆኑን ትኩረት አሳሳቢ አይነት ነው እና አሁን ለመጀመሪያ የሕዝብ አሞኛል የሚሆን ጊዜ ነው
comic gem with some serious sparkles,አንዳንድ ከባድ ሲያንጸባርቅ ጋር የቀልድ ዕንቁ
audiences may find [attal and gainsbourg s] unfamiliar personas give the film an intimate and quaint reality that is little closer to human nature than what hollywood typically concocts,ታዳሚዎች የማይታወቁ personas ፊልሙ ምን ሆሊውድ በተለምዶ አሴረ ይልቅ የሰው ተፈጥሮ ጋር ትንሽ ቀረብ ነው የጠበቀ እና የማይችሉ እውነታ ይሰጣሉ [እና gainsbourg ዎች attal] ማግኘት ይችላሉ
cremaster should come with the warning for serious film buffs only,ከባድ ፊልም ብቻ ቦይልን ለ cremaster ማስጠንቀቂያ ጋር መምጣት አለባቸው
once again director jackson strikes rewarding balance between emotion on the human scale and action effects on the spectacular scale,አንድ ጊዜ እንደገና ዳይሬክተር ጃክሰን በ አስደናቂ ደረጃ ላይ ያለውን ሰብዓዊ ደረጃ እና እርምጃ ውጤቶች ላይ ስሜት መካከል የሚክስ ሚዛን የያዘ ነው
loving little film of considerable appeal,ከፍተኛ የይግባኝ በፍቅር ትንሽ ፊልም
although it bit smug and repetitive this documentary engages your brain in way few current films do,ይህ ኩሩ ቢት እና ተደጋጋሚ ቢሆንም ይህ ጥናታዊ ጥቂት ወቅታዊ ፊልሞች ማድረግ መንገድ አንጎልህ የሚሳተፍ
flawed but worthy look at life in relocation camps,የማዛወር ካምፖች ውስጥ ሕይወት ላይ ስለሚያንስ ግን የሚገባ መልክ
it lovely film with lovely performances by buy and accorsi,ግዛ እና accorsi በ ያለበትን አፈፃጸም ጋር ያለበትን ፊልም
no one goes unindicted here which is probably for the best and if you re not nearly moved to tears by couple of scenes you ve got ice water in your veins,ማንም ሰው ምርጥ የሚሆን ምናልባትም ነው እዚህ unindicted ይሄዳል እና የሚጠጉ ትዕይንቶች መካከል ባልና ሚስት በ እንባ ተወስዷል አይደለም ካልተገናኙ ከሆነ ሥርህ ውስጥ አግኝቷል በረዶ ውሃ ቀምጥ
warm funny engaging film,ሞቅ ያለ አስቂኝ አሳታፊ ፊልም
uses sharp humor and insight into human nature to examine class conflict adolescent yearning the roots of friendship and sexual identity,የመደብ ግጭት በጉርምስና አለመስጠታችን ወዳጅነት እና የፆታ ማንነት ሥሮች መመርመር የሰው ተፈጥሮ ወደ ሹል ቀልድ እና ማስተዋል ይጠቀማል
entertains by providing good lively company,ጥሩ ሞቅ ኩባንያ በማቅረብ የሚያዝናና
dazzles with its fully written characters its determined stylishness which always relates to characters and story and johnny dankworth best soundtrack in years,ሁልጊዜ ዓመታት ውስጥ ቁምፊዎች እና ታሪክ እና ጆኒ dankworth ምርጥ ማጀቢያ ጋር የሚያይዝ የራሱ ሙሉ በሙሉ የተጻፈ ቁምፊዎች በውስጡ ቁርጥ stylishness ጋር ለማስደነቅ
visually imaginative thematically instructive and thoroughly delightful it takes us on roller coaster ride from innocence to experience without even hint of that typical kiddie flick sentimentality,በእይታ ፈልሳፊ thematically ትምህርት ሰጪ እና በዚያ የተለመደው kiddie ጨረፍታ በስሜት እንኳን ፍንጭ ያለ ተሞክሮ ወደ ንጹሕ ከ ሮለር ኮስተር ግልቢያ ላይ እኛን ይወስዳል በደንብ አስደሳች
unlike the speedy wham bam effect of most hollywood offerings character development and more importantly character empathy is at the heart of italian for beginners,አብዛኞቹ ሆሊውድ መሥዋዕት ቁምፊ ልማት እና ይበልጥ በአስፈላጊ ሁኔታ ቁምፊ ​​እንደራስ ያለውን ፈጣን እየተገበያየሁ bam ውጤት በተለየ ለጀማሪዎች የጣሊያን ልብ ላይ ነው
you ll gasp appalled and laugh outraged and possibly watching the spectacle of promising young lad treading desperately in nasty sea shed an errant tear,ትጸየፋት እተነፍሳለሁ እና የተናደዱት መሳቅ እና ምናልባትም የሚያስጠሉ ባሕር ውስጥ አምርሬ ይራመዳል ወጣት ብላቴና ቃል ያለውን ትዕይንት መመልከት የሚፈጥረው ከዓይኖቻቸው ላይ የፈሰሰው ያገኛሉ
the band courage in the face of official repression is inspiring especially for aging hippies this one included,"በኦፊሴላዊ የመግቢያ ወቅት, በተለይም ለእርጅቱ ጉፖዎች የሚያነቃቃ ነው"
although german cooking does not come readily to mind when considering the world best cuisine mostly martha could make deutchland popular destination for hungry tourists,በዓለም ላይ ምርጥ ምግብ ከግምት ጊዜ የጀርመን የማብሰያ ወደ አእምሯችን በቀላሉ አይመጣም ቢሆንም በአብዛኛው ማርታ የተራቡ ለቱሪስቶች ተወዳጅ መድረሻ deutchland ማድረግ ይችላል
beguiling splash of pastel colors and prankish comedy from disney,Disney ከ ሲሸፈን ቀለም ተሞልተው prankish ኮሜዲ ያታልላሉ
as surreal as dream and as detailed as photograph as visually dexterous as it is at times imaginatively overwhelming,በእይታ ኩምቢን እንደ ፎቶግራፍ እንደ በዝርዝር እንደ አንዳንድ ጊዜ እንደ ህልም እንደ አጨቃጫቂ እንደ imaginatively እንዳየለ
[lawrence bounces] all over the stage dancing running sweating mopping his face and generally displaying the wacky talent that brought him fame in the first place,[Lawrence ይጣመማል] በመጀመሪያ ስፍራ ከእርሱ ዝና አመጣ ፊቱን መወልወልና ላብ እየሄደ እና በአጠቃላይ ጋጠወጥ ተሰጥኦ በማሳየት ወደ መድረክ ጭፈራ ላይ ሁሉም
the film serves as valuable time capsule to remind us of the devastating horror suffered by an entire people,ፊልም በአንድ ግዙፍ ህዝብ የተሠቃየውን አስከፊ አስፈሪ አስከፊ አስፈፃሚ አስታወቁ
what surprising about full frontal is that despite its overt self awareness parts of the movie still manage to break past the artifice and thoroughly engage you,ምን ከሙሉ የፊት ስለ የሚያስደንቅ ፊልም በውስጡ አሳፋሪና ራስን ግንዛቤ ክፍሎች አሁንም በጥልቀት artifice ያለፈው ለመላቀቅ እና ያስተዳድሩ ቢኖሩም አጭሻለሁ ነው
whether you like rap music or loathe it you can deny either the tragic loss of two young men in the prime of their talent or the power of this movie,የራፕ ሙዚቃ እንደ ሆነ ወይም በእነርሱ ታላንት ጠቅላይ ወይም በዚህ ፊልም ኃይል ውስጥ አንድም ሁለት ወጣት ወንዶች መካከል ያለውን አሳዛኝ መጥፋት ሊክድ ይችላል ተጸየፈው
an otherwise intense twist and turn thriller that certainly shouldn hurt talented young gaghan resume,ያለበለዚያ በጣም ኃይለኛ ጎትት እና የታሸገ ወጣት ጋጋን ከቆመበት ቀጥል
it provides the grand intelligent entertainment of superior cast playing smart people amid compelling plot,በሚያስደንቅ ሴራ ላይ ብልጥ የሆኑ ሰዎችን በመጫወት የላቀ ብልህ የመዝናኛ መዝናኛዎችን ይሰጣል
there tremendous energy from the cast sense of playfulness and excitement that seems appropriate,ተገቢ መስሎ ተጫዋችነቱን ከመደነቁ የተነሳ የ cast ስሜት ጀምሮ በዚያ ከፍተኛ ኃይል
it moves quickly adroitly and without fuss it doesn give you time to reflect on the inanity and the cold war datedness of its premise,ይህ adroitly በፍጥነት ያነሳሳናል እና ያወዛገበው ያለ እርስዎ inanity እና ህንጻ አድራሻ ያለውን ቀዝቃዛ ጦርነት datedness ላይ ለማሰላሰል ጊዜ መስጠት ከምስክር
deep and meaningful film,ጥልቅ እና ትርጉም ያለው ፊልም
the film welcome breeziness and some unbelievably hilarious moments most portraying the idiocy of the film industry make it mostly worth the trip,ፊልሙ አቀባበል breeziness እና በጣም በፊልም ኢንዱስትሪ ውስጥ idiocy በሚናገርበት አንዳንድ ለማመን በጣም የምትገርሙ ጊዜያት ወደ ጉዞ በአብዛኛው የሚያስቆጭ ማድረግ
it remarkably solid and subtly satirical tour de force,ኃይል ዴ በተለየ ሁኔታ ጠንካራ እና ተጽዕኖው ምጸታዊ ጉብኝት
poignant artfully crafted meditation on mortality,ሞት ላይ በብልሃት የተመረተ ማሰላሰል የሚነኩ
rarity among recent iranian films it comedy full of gentle humor that chides the absurdity of its protagonist plight,የቅርብ ጊዜ የኢራን ፊልሞች መካከል ከአገልግሎት ውጪ ግን ረጋ ቀልድ ሙሉ ኮሜዲ መሆኑን chides በውስጡ protagonist አስቸጋሪ ሁኔታ ውስጥ absurdity
not only is undercover brother as funny if not more so than both austin powers films but it also one of the smarter savvier spoofs to come along in some time,ብቻ ሳይሆን ይበልጥ ስለዚህ ሁለቱም Austin ኃይሎች ፊልሞች ይልቅ ግን ደግሞ ብልጥ savvier ቀልድ አንዱ አንዳንድ ጊዜ አስቂኝ አብሮ መምጣት እንደ የኮማንዶ ወንድም ነው
in way the film feels like breath of fresh air but only to those that allow it in,መንገድ ፊልም ብቻ ውስጥ የሚፈቅደውን ሰዎች ንጹህ አየር ነገር ግን ስለ ትንፋሽ እንደ ስሜት
woody allen latest is an ambling broad comedy about all there is to love and hate about the movie biz,የወሊድ አሌን የቅርብ ጊዜ ሰዎች ስለ ፊልሙ ቢዝ ፍቅርን መውደድ እና ጥላቻን ለመጥራት እና ለመጥላት የሚያስችል ጠፍጣፋ ነው
it stunning lyrical work of considerable force and truth,ይህም ከፍተኛ ኃይል እና የእውነት የጸሐፊውን ሥራ በሚገርም
the inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power as if they were tales that had been handed down since the beginning of time,ምድር inhospitability በብዙዎቹ ያለውን ትርፍ ዝንፍ አጽንዖት እና ከጊዜ መጀመሪያ ጀምሮ ያስተላለፈልንን የነበረውን ተረት ቢሆን ኖሮ እንደ የማይለውን ኃይል ለመስጠት ይረዳል
[ns] directed the stage version of elling and gets fine performances from his two leads who originated the characters on stage,[Ns] elling ያለውን ደረጃ ስሪት መመሪያ እና መድረክ ላይ ቁምፊዎች አመጣጥ ማን ሁለት ይመራል ጀምሮ ጥሩ አፈፃፀም ያገኛል
made me unintentionally famous as the queasy stomached critic who staggered from the theater and blacked out in the lobby but believe it or not it one of the most beautiful evocative works ve seen,የ queasy ቲያትር ከ እያዘገሙ ማን ሃያሲ stomached እና እረፍቷን ውጭ blacked ግን ማመን ወይም በጣም ውብ በአንድምታ ሥራዎች መካከል አንዱ አይተናል የላክንልህን አይደለም እንደ እኔ ሳላስበው ዝነኛ አደረገ
coda in every sense the pinochet case splits time between minute by minute account of the british court extradition chess game and the regime talking head survivors,coda ሁሉ ስሜት ውስጥ የብሪታንያ ፍርድ ቤት እንዲተላለፍ ቼዝ ጨዋታ ደቂቃ መለያ እና ገዥው ማውራት ራስ የተረፉ ደቂቃ መካከል pinochet ጉዳዩ ወደ ሰሜንና ጊዜ
like mike is winner for kids and no doubt winner for lil bow wow who can now add movies to the list of things he does well,እንደ ማይክ የህጻናት አሸናፊ ሆነ ዋው ማን አሁን መልካም አደረገ ነገሮች ዝርዝር ፊልሞችን ማከል ይችላሉ Lil ቀስት ምንም ጥርጥር አሸናፊ ነው
[t]his beguiling belgian fable very much its own droll and delicate little film has some touching things to say about what is important in life and why,[T] የእርሱ በጣም ብዙ የቤልጂየም ተረት ያታልላሉ የራሱ droll ቅምጥል ትንሽ ፊልም ሕይወት ለምን ውስጥ አስፈላጊ ነው ምን ይላሉ አንዳንድ የሚነካ ነገር አለው
here yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep but taken as stylish and energetic one shot the queen of the damned cannot be said to suck,እዚህ ገና ቄንጠኛ ጤናማና ጠንካራ ሰው እንደ ይወሰዳል ተራ ደጋፊዎች ያላቸውን እንቅልፍ ውስጥ ለማስተካከል ይችላል ያልተጠበቁ ችግሮች ጋር ያለውን የታሪክ እስከ mucking ሌላ ስቱዲዮ አስፈሪ franchise ግን የተጠመቀም ንግሥት ትጠቢያለሽ ሊባል አይችልም በጥይት
you won like roger but you will quickly recognize him and that big part of why we go to the movies,አንተ ሮጀር እንደ አሸንፈዋል ግን እኛ ፊልሞች መሄድ ለምን በፍጥነት እሱን እና በዚያ ትልቅ ክፍል አያውቀውም
while the stoically delivered hokum of hart war is never fun it still worthy addition to the growing canon of post saving private ryan tributes to the greatest generation,ሚዳቋና ጦርነት ከመለሰ አሳልፎ hokum ወደ አዝናኝ አሁንም የሚገባ በተጨማሪ ፈጽሞ ሳለ ታላቅ ትውልድ የግል ራያን tributes ማስቀመጥ ልጥፍ ቀኖና እያደገ
sober and affecting chronicle of the leveling effect of loss,በመጠን እና ኪሳራ ውስጥ ድልዳሎ ውጤት ላይ ተጽዕኖ ክሮኒክል
fast funny highly enjoyable movie,በፍጥነት አስቂኝ በጣም አስደሳች ፊልም
celebration of quirkiness eccentricity and certain individuals tendency to let it all hang out and damn the consequences,quirkiness eccentricity እና የተወሰኑ ግለሰቦች ዝንባሌ በዓል ሁሉም መዋል እናድርግ እና ውጤት ለመፍረድ
writer director joe carnahan grimy crime drama is manual of precinct cliches but it moves fast enough to cover its clunky dialogue and lapses in logic,ጸሐፊ ዳይሬክተር Joe carnahan ቁሽሽ ወንጀል ድራማ precinct አባባሎችን መካከል በእጅ ነው ነገር ግን አመክንዮ ውስጥ የማይመቹ መገናኛ እና ሳይታዘዝ ለመሸፈን ፈጣን በቂ ይገፋፋናል
smart witty follow up,ብልጥ ይከታተላል አስቂኝ
while the ideas about techno saturation are far from novel they re presented with wry dark humor,ቴክኖ ሙሌት ስለ ሃሳቦች ልቦለድ የራቀ ናቸው እያለ እነሱ wry ጥቁር ቀልድ ጋር ቀርቧል ደግመህ
although occasionally static to the point of resembling stage play the film delivers solid mixture of sweetness and laughs,ደረጃ ፊልሙ መጫወት የሚታየውን ያለውን ነጥብ ድረስ አልፎ አልፎ የማይንቀሳቀስ ጣፋጭነት እና ሲስቅ መካከል ጠንካራ ድብልቅ ያቀርባል ቢሆንም
it provides an honest look at community striving to anchor itself in new grounds,ይህ አዲስ ምክንያቶች ውስጥ መልሕቅ ራሱን አሠራሩ ማህበረሰብ በሐቀኝነት ይሰጣል
add yet another hat to talented head clooney good director,ተሰጥኦ ራስ clooney መልካም ዳይሬክተር ሌላ ኮፍያ ገና አክል
building slowly and subtly the film sporting breezy spontaneity and realistically drawn characterizations develops into significant character study that is both moving and wise,ቀስ በቀስ እና ሸፋፍነው ፊልሙ የስፖርት ሰውየውና ከልባቸው እውነታው የተመዘዘ መገለጫዎች በመገንባት ጥበበኞች ተንቀሳቃሽ እና ሁለቱም መሆኑን ጉልህ ቁምፊ ጥናት ወደ ያዳብራል
chilling well acted and finely directed david jacobson dahmer,ጥሩ መመሪያ በደቃቁ እርምጃ ዳዊት jacobson dahmer Chilling
swashbuckling tale of love betrayal revenge and above all faith,ፍቅር ክህደት በቀል እና እምነት ሁሉ በላይ swashbuckling ታሪክ
true delight,እውነተኛ ደስታ
without ever becoming didactic director carlos carrera expertly weaves this novelistic story of entangled interrelationships and complex morality,ከመቼውም ለጌጥነት ዳይሬክተር በመሆን ያለ ካርሎስ carrera expertly እያደረገኝ interrelationships እና ውስብስብ ሥነ ይህን novelistic ታሪክ መጥቀሱ
it coming of age story we ve all seen bits of in other films but it rarely been told with such affecting grace and cultural specificity,ይህ እኛ በሌሎች ፊልሞች ላይ ሁሉም አይተው ቢት ቀምጥ ግን ከስንት አንዴ እንደ ተጽዕኖ ጸጋ እና የባህል specificity ጋር ተነግሯቸው ዕድሜ ታሪክ መምጣት
literate presentation that wonderfully weaves murderous event in 1873 with murderous rage in 2002,ድንቅ 2002 ውስጥ ነፍሰ ቁጣ ጋር በ 1873 ነፍሰ ክስተት መጥቀሱ ማንበብና መጻፍ አቀራረብ
makes even the claustrophobic on board quarters seem fun,የቦርድ አራተኛ ላይ እንኳ የተዘጋብኝ አዝናኝ ይመስላል ያደርጋል
this is as respectful film as byatt fans could hope for though lovers of the book may wonder why it necessary,"የመጽሐፉ አፍቃሪዎች ቢሆኑም, ይህ የመጽሐፉ ወዳጆች ሊያስቡ ቢያስቡም አስፈላጊ የሆነው ለምን እንደሆነ ሊያስቡ ይችላሉ"
one of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals psychological masterpiece,አምስት ዘመናዊ ግለሰቦች ልቦና ድንቅ ስላጋጠሟቸው ደስታ ወደ መሰናክሎች በውስጡ ፍለጋና ጋር የዓመቱ ምርጥ ፊልሞች መካከል አንዱ
not far beneath the surface this reconfigured tale asks disturbing questions about those things we expect from military epics,አይደለም እስከ ወለል በታች ይህ ይወስድዎታል ተረት እኛ ወታደራዊ epics ከ መጠበቅ እነዚህን ነገሮች በተመለከተ ጥያቄዎች የሚረብሽ ይጠይቃል
for the most part stevens glides through on some solid performances and witty dialogue,በጣም ክፍል ለ Stevens አንዳንድ ጠንካራ አፈፃፀም እና አስቂኝ ውይይት ላይ እስከ እየተወ
broomfield turns his distinctive blundering style into something that could really help clear up the case,ብሮፊፊልድ ልዩ የማደንዘሪያ ዘይቤውን በእውነቱ በትክክል ለማጽዳት በሚረዳ ነገር ይቀየራል
against all odds in heaven and hell it creeped me out just fine,መንግስተ ሰማይና ሲዖል ውስጥ በማክሸፍ ላይ ብቻ ጥሩ እኔን ውጭ creeped
it refreshing to see girl power movie that doesn feel it has to prove anything,ይህ ከምስክር ግን ማንኛውንም ነገር ለማረጋገጥ እንዳለው ይሰማኛል መሆኑን ልጃገረድ ኃይል ፊልም ለማየት ማደስ
it worth seeing just on the basis of the wisdom and at times the startling optimism of the children,ይህ ዋጋ ልክ ልጆች ግር የሚያሰኝ ብሩህ ጥበብ መሠረት ላይ እና አንዳንድ ጊዜ አይቶ
rigorously structured and exquisitely filmed drama about father and son connection that is brief shooting star of love,በየጊዘዌውም የተዋቀረ እና ውብ የፍቅር አጭር ተወርዋሪ ኮከብ ነው አባት እና ልጅ ግንኙነት በተመለከተ ድራማ ለመቀረፅ
this surreal gilliam esque film is also troubling interpretation of ecclesiastes rewarding work of art for only the most patient and challenge hungry moviegoers,ይህ በጣም አጨቃጫቂ Gilliam esque ፊልም ደግሞ የተራቡ moviegoers ብቻ በጣም ታጋሽና የሚሆን ጥበብ አርኪ ሥራ የመክብብ ትርጓሜ አወኩ በመዳፈር ነው
quiet treasure film to be savored,ዝም ሀብት ፊልም መንገዶቿ ወደ
